country_code,city,location,lat,lon,pollutant,source_name,unit,value,last_updated,country_label,location_label,value_ugm3,cap_ugm3,above_limit,month,extreme_value,year
TR,Konya,TR,37.906802,32.460009,CO,Turkiye,µg/m³,273890,2022-11-10T16:00:00Z,Turkey,Konya,273890,60000,TRUE,11,FALSE,2022
IL,NA,"תחנה:מודיעין חח""י",32.78943,35.00168,O3,Israel,ppm,0.0448,2019-04-03T21:00:00Z,Israel,"תחנה:מודיעין חח""י",87.95092024539876,1200,FALSE,4,TRUE,2019
IL,NA,תחנה:כרמי יוסף,32.854514,35.091182,NO2,Israel,ppm,0.1139,2019-04-03T21:00:00Z,Israel,תחנה:כרמי יוסף,214.33697341513292,4000,FALSE,4,TRUE,2019
IN,NA,"General Hospital, Mandikhera - HSPCB",27.9002,76.99379999999998,SO2,caaqm,µg/m³,726.63,2022-10-31T01:45:00Z,India,"General Hospital, Mandikhera - HSPCB",726.63,3000,FALSE,10,TRUE,2022
IN,NA,"Rabindra Bharati University, Kolkata - WBSPCB",22.627875,88.3804,O3,CPCB,µg/m³,433.31,2017-10-19T23:30:00Z,India,"Rabindra Bharati University, Kolkata - WBSPCB",433.31,1200,FALSE,10,TRUE,2017
IT,Roma,Fermi,41.864194,12.469531,NO2,ARPALAZIO,µg/m³,99,2024-03-23T00:00:00Z,Italy,Roma,99,4000,FALSE,3,TRUE,2024
CN,NA,西城阳光环保公司,37.4658,118.50189999999999,SO2,ChinaAQIData,µg/m³,185,2020-12-31T16:00:00Z,China,西城阳光环保公司,185,3000,FALSE,12,TRUE,2020
ES,NA,ES1277A,38.6806499994758,-4.10832,SO2,EEA Spain,µg/m³,12,2022-02-02T08:00:00Z,Spain,ES1277A,12,3000,FALSE,2,TRUE,2022
FR,ATMO HAUTS DE FRANCE,NET-FR074A,51.03276,2.3323579999999997,PM2.5,EEA France,µg/m³,47.5,2024-03-11T09:00:00Z,France,ATMO HAUTS DE FRANCE,47.5,2000,FALSE,3,TRUE,2024
CN,NA,审计局,36.2125,113.0886,SO2,ChinaAQIData,µg/m³,21,2021-08-09T11:00:00Z,China,审计局,21,3000,FALSE,8,TRUE,2021
FR,ATMO OCCITANIE,NET-FR068A,43.609974,3.898611,NO2,EEA France,µg/m³,427.8,2023-04-26T08:00:00Z,France,ATMO OCCITANIE,427.8,4000,FALSE,4,TRUE,2023
JP,NA,小樽市稲穂2-22-8,43.196667,140.994722,NO2,japan-soramame,ppm,0.014,2024-03-10T08:00:00Z,Japan,小樽市稲穂2-22-8,26.34519427402863,4000,FALSE,3,TRUE,2024
JP,NA,横浜市鶴見区下末吉２－２５－６,35.522778,139.674722,NO2,japan-soramame,ppm,0.011,2024-03-10T08:00:00Z,Japan,横浜市鶴見区下末吉２－２５－６,20.699795501022493,4000,FALSE,3,TRUE,2024
JP,NA,大阪市北区西天満２－７－９,34.694167,135.504167,CO,japan-soramame,ppm,0.6,2023-10-16T08:00:00Z,Japan,大阪市北区西天満２－７－９,687.361963190184,60000,FALSE,10,TRUE,2023
JP,NA,大阪市西淀川区出来島２－２－２４,34.700832999999996,135.439722,NO2,japan-soramame,ppm,0.048,2023-10-16T08:00:00Z,Japan,大阪市西淀川区出来島２－２－２４,90.32638036809816,4000,FALSE,10,TRUE,2023
ME,Bijelo Polje,"Osnovna škola ""Risto Ratković""",43.02901,19.7426,CO,Montenegro,µg/m³,1250,2024-03-19T21:00:00Z,Montenegro,Bijelo Polje,1250,60000,FALSE,3,TRUE,2024
TR,Adana,Adana - Valilik,37.0014588022949,35.3125007450909,SO2,Turkiye,µg/m³,41.215,2023-05-31T00:00:00Z,Turkey,Adana,41.215,3000,FALSE,5,TRUE,2023
US,SAN BERNARDINO,60 Near Road,34.0309,-117.617403,NO2,AirNow,ppm,0.0235,2023-05-30T23:00:00Z,United States,SAN BERNARDINO,44.22229038854805,4000,FALSE,5,TRUE,2023
JP,NA,長崎市大黒町３－１,32.748333,129.874167,NO2,japan-soramame,ppm,0.025,2024-03-10T08:00:00Z,Japan,長崎市大黒町３－１,47.04498977505113,4000,FALSE,3,TRUE,2024
US,DENVER,Globeville,39.785622,-104.988469,NO2,AirNow,ppm,0.04,2023-05-30T14:00:00Z,United States,DENVER,75.2719836400818,4000,FALSE,5,TRUE,2023
ZA,Waterberg,Marapong,-23.656028,27.627997,PM2.5,South Africa,µg/m³,80.568,2022-10-01T21:00:00Z,South Africa,Waterberg,80.568,2000,FALSE,10,TRUE,2022
IT,RETE DI RILEVAMENTO QUALITA' DELL'ARIA DISTRETTI CHIETI-PESCARA,NET.IT256A,42.5175,14.14833,PM2.5,EEA Italy,µg/m³,10,2024-02-11T23:00:00Z,Italy,RETE DI RILEVAMENTO QUALITA' DELL'ARIA DISTRETTI CHIETI-PESCARA,10,2000,FALSE,2,TRUE,2024
